X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0428240361136,38.8140388097214,26014086,38.814031,-77.042817,N Pitt St & Montgomery St,classic,641,active,2022/03/24 17:30:18+00,0,0,15,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.1299505744132,38.8000831838378,26014087,38.800077,-77.129943,Van Dorn Metro,classic,642,active,2022/03/24 04:59:57+00,9,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0402955791729,38.8019503060643,26014088,38.801947,-77.040293,Duke St & Strand (Robinson Terminal),classic,643,active,2022/03/24 14:23:27+00,0,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0469209289957,38.8983110849976,26014089,38.898302,-77.046913,21st St & G st NW,classic,645,active,2022/03/25 10:26:01+00,2,0,17,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0176588071569,38.8811311906459,26014090,38.881123,-77.017658,4th St & G St SW,classic,646,active,2022/03/25 10:03:29+00,6,0,12,3,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.013824324186,38.9581078663159,26014091,38.958098,-77.013821,Kansas Ave & Longfellow St NW,classic,647,active,2022/03/24 08:49:19+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0459233543417,38.8529091467853,26014092,38.852903,-77.045916,National Airport,classic,648,active,2022/03/25 09:02:10+00,7,0,12,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2022/03/25 10:27:45+00,,"Arlington, VA"
-77.0568774310075,38.8648494967217,26014093,38.864838,-77.056873,Fern St & Army Navy Dr,classic,649,active,2022/03/25 09:18:51+00,6,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2022/03/25 10:27:45+00,,"Arlington, VA"
-77.0748913942572,38.890873603203,26014094,38.890863,-77.074893,Arlington Blvd & Ft Myer Dr,classic,650,active,2022/03/25 10:04:42+00,11,0,2,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2022/03/25 10:27:45+00,,"Arlington, VA"
-77.0594946966297,38.8530111205071,26014095,38.853002,-77.059496,23rd St S & Hayes St,classic,651,active,2022/03/25 07:01:59+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2022/03/25 10:27:45+00,,"Arlington, VA"
-77.0738583357291,38.8950721635146,26014096,38.895068,-77.07386,Wilson Blvd & N Oak St,classic,652,active,2022/03/25 08:58:24+00,11,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2022/03/25 10:27:45+00,,"Arlington, VA"
-77.0842687033841,38.8862639310114,26014097,38.886256,-77.084262,Arlington Blvd & Fairfax Dr,classic,653,active,2022/03/24 23:36:29+00,8,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2022/03/25 10:27:45+00,,"Arlington, VA"
-77.0138175677936,38.8637544974417,26014098,38.863743,-77.013814,2nd & V St SW / James Creek Marina,classic,654,active,2022/03/25 09:51:49+00,9,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0059139126738,38.8718447183143,26014099,38.871841,-77.00591,1st St & Potomac Ave SE,classic,655,active,2022/03/25 09:08:06+00,5,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0454925205786,38.9180399323106,26014100,38.918036,-77.045487,20th & Columbia Rd NW,classic,656,active,2022/03/25 10:22:47+00,10,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0021688789852,38.8768264936278,26014101,38.876823,-77.002161,3rd & M st SE,classic,657,active,2022/03/25 09:32:46+00,1,0,22,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
